,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
145068,0.552263503249675,0.0174121596927522,0.722385770629614,0.206732644016709,0.768939020560716,0.459708024444178,0.805713632092232,0.92590255625819,0.744792117434234,0.335471745063895
164553,0.84696033169553,0.177666805926216,0.486482419422309,0.306863541645374,0.641158320280368,0.391466817667009,0.278825343295698,0.749606793691137,0.865295243675485,0.0310509298538942
94277,0.848002700086644,0.936198610368105,0.284787193830767,0.379925998952535,0.758735484390524,0.63636850291874,0.184985668768494,0.241896870718518,0.283700008926866,0.854158525883743
158515,0.561025618697747,0.625897494167323,0.85948060605133,0.0827104306175256,0.413962233067176,0.748897028239737,0.681055243035089,0.366366872015458,0.167074468847862,0.945653441841937
136942,0.123756336974507,0.685180806552881,0.0125893548465833,0.818302590605572,0.21949297432385,0.975656973653747,0.999516111129877,0.34503247386889,0.208750673890572,0.464231069210554
95900,0.90635715546547,0.579530552274957,0.468198016600328,0.251099672272309,0.916603215635628,0.66919162998523,0.0358227960813381,0.0678596725343383,0.859373058030787,0.765690710991113
208315,0.525261350623911,0.17056376231628,0.153937502632219,0.563088490076856,0.696234449327591,0.948308887339645,0.139743349692995,0.67351192194069,0.799384051231314,0.285362422195986
131176,0.867883489337636,0.785468207715125,0.784110529004987,0.0230857140919421,0.455603484643797,0.889612986471914,0.181568147526979,0.118841375302258,0.293431957115631,0.930915309986768
218863,0.886341649464633,0.481238115472217,0.310259124986423,0.42066692347898,0.398691931308937,0.907213110305951,0.147950092361838,0.325372895357679,0.359875724708967,0.895378660615561
219195,0.87315688257451,0.016231784319435,0.465573663153616,0.337290492946468,0.604278705479771,0.738582306721835,0.462974387662303,0.29343764364971,0.781476300098466,0.586798402449542
24553,0.931428713898855,0.542275893800681,0.377540049530251,0.394771645038736,0.126673880303299,0.415549040283061,0.530503162067481,0.367017962178863,0.367761277027274,0.722044740218056
72641,0.837253171027196,0.376438760316916,0.584547269000724,0.285951229536574,0.387428512596996,0.58808902826186,0.536118475642624,0.232208761404155,0.520087122776203,0.884642702164418
115115,0.835524582089958,0.0553069471797305,0.108409589061115,0.528513377968968,0.0792443978767969,0.508008938380512,0.15391155705269,0.663116157939663,0.887329168456623,0.79300597379955
174128,0.92358275971415,0.341864931570663,0.511702332156465,0.312578372889433,0.075385331784425,0.770477743892259,0.316242489507785,0.799878171680179,0.106244686032788,0.858839238382371
18183,0.797481971390466,0.518296186469714,0.494311451865547,0.318181631258536,0.199682021858605,0.38622696023486,0.0540951765636067,0.444231607288956,0.937869117302958,0.696845490714613
192705,0.065219146174629,0.524743381910158,0.321949028329619,0.578549468209206,0.0543891608773138,0.147621334344227,0.450135349300228,0.852728740436939,0.987500643094268,0.326002788938945
19937,0.796654410895819,0.481780332591153,0.793933812701735,0.057002910952332,0.595562115621288,0.0916796084035212,0.770025763993025,0.604088832888859,0.519471016215506,0.575838683792216
222652,0.273972574865236,0.546620543265156,0.354973486229921,0.529241596933821,0.386911181476213,0.87289146444739,0.492193534136955,0.380872810247319,0.566839815074246,0.858341814325176
100017,0.595629664386905,0.500641649025826,0.555411451353485,0.304444408068706,0.999434729568111,0.680707396793505,0.783871414137222,0.685230772246374,0.168661370042113,0.101108734694107
125502,0.977215796225102,0.337037738078446,0.0218940073027799,0.484739991172814,0.2615979674732,0.576319584254777,0.0443690681731093,0.454197129607799,0.764168310193112,0.401975805034868
153964,0.499099038039506,0.657186661303763,0.722483296522573,0.20047333524122,0.317544034465227,0.577106746781503,0.487539253789975,0.810731526759223,0.141682795336556,0.605992715185046
23789,0.724880493992354,0.502776456121196,0.522557286915532,0.295919898804333,0.385759439437356,0.0611959447482037,0.325405103025839,0.69875314382073,0.929687902042589,0.379808512070987
229006,0.451423862242017,0.631822767861426,0.267851663099914,0.622292648315262,0.339068358531793,0.796748174041769,0.82894714000104,0.231996039540106,0.311923110859982,0.167566612602647
146325,0.622193484657911,0.347287323777631,0.0670345805912637,0.557234002529106,0.723410531851597,0.370547118460003,0.29243878089217,0.504351439439431,0.87244009543614,0.867148872759067
245543,0.890032903723583,0.487261699421767,0.399535895901895,0.32800390341853,0.52080018834534,0.492895037968191,0.035659445710151,0.370681492897212,0.916478537638693,0.236377560697143
194449,0.732190587092191,0.156247163724621,0.773485423757103,0.131529103932766,0.764438076401868,0.86206360029818,0.6852617803197,0.350161328866055,0.448688300816994,0.724619173252587
208356,0.46246315177686,0.758259713922842,0.58094082907752,0.315735401638032,0.098715596396242,0.682037585143949,0.0504386981440263,0.598247425249633,0.657087838411465,0.577364577168914
110456,0.568637537163321,0.599390273729153,0.162002170742893,0.566401712483366,0.661744388866107,0.725193282571208,0.398709834939918,0.701959030295249,0.282646380858165,0.598984445677544
111696,0.471278890210499,0.0807590962688482,0.266819106217786,0.536312001183139,0.492107270990429,0.614793701147308,0.580402582971574,0.847144116869674,0.689323551071223,0.971930776708899
57464,0.519237108185984,0.700768839688574,0.318810064348636,0.535339218030988,0.139405115903725,0.46672166289455,0.347459634552265,0.311809611860031,0.627832983824633,0.871567671887377
20015,0.943273103675578,0.80330566849608,0.0993374991997516,0.443835725360867,0.945033100837622,0.920261312201843,0.280303650621678,0.192974235621808,0.132401283611625,0.252669435236252
52737,0.43466750805689,0.402084217179822,0.794695385216157,0.197477828377925,0.148246500892899,0.722857223415852,0.687969919669351,0.684456825829085,0.378672385265707,0.00540379076838414
28933,0.74040181764751,0.489052927721835,0.182642283767738,0.488118947481936,0.98530249507719,0.130078712128108,0.834445349942638,0.590020444436858,0.585878387852832,0.200891131125542
136776,0.323791227920229,0.787335814838678,0.0980074144025607,0.656667192898088,0.401161722330873,0.825782289184592,0.419846043137406,0.18958994871691,0.473920714710345,0.278373055496248
112448,0.435157612601471,0.954203907111468,0.654490061240004,0.114879652424378,0.655576973903592,0.141750437732651,0.912052597910664,0.651105780133933,0.00672683703610416,0.941177772509061
68449,0.366421292478167,0.926471938173824,0.115816541340868,0.592318453606534,0.55123380877588,0.45927299577576,0.388939275431735,0.00247368065426069,0.631188688048373,0.838569564362904
112776,0.375617637038384,0.487691869733846,0.346846675160086,0.53438035933246,0.244925149745783,0.654581945663287,0.38953843823533,0.694271820857855,0.578783372328336,0.599850677973532
53271,0.653559631179547,0.932429984094275,0.320638378657063,0.417983997420636,0.703553800689726,0.220614157072319,0.820915641258393,0.299205772573449,0.188613715768589,0.308924865712988
7518,0.406239020406413,0.670161122505292,0.622642761851252,0.342748100580909,0.058098501626049,0.678132560362906,0.634470854457269,0.527214100138826,0.245527052112855,0.598131917346414
58599,0.765351611415887,0.570324505468223,0.631456297694513,0.310710016404102,0.414865189706277,0.896522839296331,0.487159085651261,0.0437161379175914,0.396191044436115,0.856643091529453
233056,0.541158823560421,0.00697657692683493,0.143976771738799,0.578125414875798,0.892514590461773,0.780570886535639,0.815408184181518,0.565332717967971,0.769754412811717,0.230541497720813
83556,0.605979909904789,0.441222009744083,0.799810922656423,0.0594029391233611,0.823030546796178,0.854027409559608,0.270493032715955,0.847501356324528,0.239047707819471,0.178956373611144
43152,0.942607460441296,0.0371531042028653,0.072641211150957,0.534373030182041,0.429041743778992,0.687552648334194,0.650636076360497,0.894836195661272,0.315182686646651,0.733023058813586
211794,0.756693439736587,0.347854175635563,0.405181613875083,0.381883075903575,0.841339279939177,0.823729116063207,0.216093083316674,0.25612725103737,0.82212758108163,0.0199134869340616
203903,0.32661094409535,0.785387757448322,0.693034369159056,0.291151996848106,0.192910153191168,0.515616449546736,0.747861299369037,0.123825971244826,0.633354875398635,0.116750837361354
122472,0.507565933160843,0.695276293933945,0.0509912558380801,0.657660961576693,0.692128426173599,0.818038565157948,0.664985975965353,0.0757195660726646,0.320469527027737,0.617031803771158
118265,0.903937407356295,0.056345815511086,0.794516450687419,0.0568272520178157,0.521885684059897,0.361048312276502,0.374611419543697,0.813296642028811,0.812633134529905,0.00304256142754316
120502,0.468293056507296,0.241051836819383,0.790928085105639,0.137058948962199,0.558565183906993,0.69875845492412,0.457771500929187,0.908225714656509,0.471505156240464,0.481691803023236
122839,0.852808580927643,0.579887724243208,0.0856620502348441,0.537195326240027,0.036729481363485,0.334488527873616,0.163228045885345,0.49668252834566,0.686478661666007,0.679393606189675
195010,0.477336767045081,0.521098728144917,0.807971514477568,0.176980370191067,0.402241022102379,0.737699950415884,0.794786712861676,0.535918390496909,0.239025027962011,0.226619506829163
150398,0.494254960396842,0.550245274881708,0.705194064089071,0.191530938898611,0.470485830571494,0.0833627210709716,0.788054130065397,0.62995425983544,0.618475386584081,0.730416954084285
132799,0.459984488802576,0.856490405130637,0.680103234989641,0.166835102338274,0.531334424076105,0.583616076505977,0.375710197804455,0.931608421533789,0.0553102202735827,0.421300637305404
136561,0.216401809263461,0.924307399992962,0.339993894626262,0.466160409515431,0.465027411782336,0.180957299888377,0.844024835454996,0.836429964870632,0.133646894627747,0.295821788257812
8467,0.96942508831931,0.812820604802003,0.23132739192743,0.430877595127536,0.395434483414474,0.297622952371194,0.198944423026148,0.00338940330725685,0.859920106215712,0.410694658771198
142757,0.931471867860843,0.34547753280203,0.653165573818074,0.122090278104917,0.700643551032532,0.25331798758473,0.30091615763327,0.475042060176042,0.97245579601167,0.373170151410829
174964,0.566207994522479,0.668943743716055,0.73677685031778,0.225057610137058,0.257822195911931,0.935707330818124,0.473528547225946,0.53808884159085,0.0616032247978001,0.738322229099066
166625,0.167537504918439,0.0940940122586283,0.249048608422841,0.621194225217859,0.300648754017756,0.98407074253924,0.635062866159451,0.766128000170811,0.782007698793553,0.461326297952725
151363,0.453648431026158,0.298485889416087,0.785597278819176,0.125690236188731,0.830703410106395,0.37806993785888,0.809284632341283,0.784791692429983,0.659033146083411,0.339110073698554
145391,0.486244960746118,0.325893127346769,0.177333561054474,0.6308671791694,0.0825348215104021,0.298708515137927,0.833421838032612,0.375335099485172,0.779316613274882,0.547692537131154
66798,0.130082212339628,0.898674847458716,0.284238007754844,0.497257141155617,0.833467503699276,0.314456418939412,0.886699023051221,0.0869466175596391,0.604998561055912,0.0669100449426263
108225,0.268578751545278,0.240499994650169,0.445795077778517,0.429735827376804,0.821910832625384,0.69414413665165,0.820464790256154,0.504587583872432,0.900682823634303,0.00257565306595504
191802,0.345764596194992,0.174467012527723,0.0506354072205035,0.694480788417316,0.174857980910602,0.185079864605612,0.841831158005771,0.605993818091218,0.991735596131453,0.338265361851566
16582,0.56395258010896,0.488441563099342,0.917645250994804,0.0949168985615192,0.27712329551625,0.986625350984344,0.837363832216883,0.0935233498230652,0.351446075975298,0.746226475618062
202462,0.777123395390983,0.103989362806318,0.514908964134349,0.331578158250023,0.19506450389295,0.886588828647829,0.0854504372788183,0.278803126504684,0.907771709022187,0.985778146837126
4938,0.786890946471996,0.0687127166940249,0.472007866082587,0.381071231995535,0.509799042758884,0.978034782807567,0.492574771195652,0.296451013128076,0.604072200219501,0.468868428250835
172397,0.57866442213005,0.751092789646001,0.65856394081251,0.289012932141683,0.229354962664904,0.495285150883516,0.787560273822264,0.0516520296684517,0.415445632377828,0.765955134041353
96707,0.122822007680265,0.997412261997883,0.417132061815807,0.473043041452805,0.317467961723317,0.832651675851915,0.605600251484769,0.221304008365525,0.34403028708192,0.0567080058660937
143159,0.405579084728078,0.680484204087601,0.343711686316937,0.532851807424391,0.0197378936447867,0.08621060962203,0.505304222582613,0.931781939845095,0.56280800039889,0.409973587247199
155554,0.0257658870253094,0.832537462734932,0.528034026083249,0.403045745132789,0.386300257397276,0.135252420883776,0.748337267398449,0.450858104257376,0.765660690706908,0.328951133072004
12129,0.539546320418148,0.806919252962698,0.674999443710137,0.303102776664083,0.510730452920191,0.971420701206674,0.850169641078129,0.0664982959782612,0.0520578022470186,0.858078359326594
205710,0.648996806185065,0.386627725456415,0.525443322816179,0.442946602735249,0.31304166697784,0.851592936739139,0.969389014048647,0.655818372572446,0.0170759182290243,0.310689936316725
223681,0.786079849602669,0.441633899346791,0.17746433552254,0.521370818396551,0.414236248175052,0.366539187384079,0.565479801019657,0.348306780407683,0.622877294728062,0.251604641608804
211933,0.599937011648561,0.74796784386452,0.107258361840928,0.621974080307341,0.17927932403768,0.0213927036303044,0.75017800766846,0.0283598074202368,0.677028332129524,0.939247013148026
46146,0.582181233783115,0.293902755354626,0.615532226666319,0.3171772871659,0.244826916562229,0.911441794798319,0.154202070859621,0.360906326673547,0.853243299516221,0.769377485548713
72554,0.326820687191087,0.99864733539759,0.00695554851416598,0.676856908016508,0.0254826876383045,0.771350371625755,0.0637290729269854,0.514283291045644,0.476603281519481,0.322623529948252
150657,0.795361045346934,0.793626651258943,0.443201088453639,0.311190234549444,0.822159232450908,0.410351837745907,0.571628257218801,0.576477497812312,0.119319020139641,0.0851675925816232
85259,0.354970416185776,0.607428087758768,0.691957823547068,0.18330801542404,0.664790219478377,0.371941967538394,0.349888342896679,0.787218234658609,0.693796057648057,0.895108171479076
4592,0.923903013454277,0.128769710777089,0.347569278431487,0.466011928778992,0.251124765701173,0.747947253023579,0.907996956190581,0.903481562075961,0.0267499688763544,0.825501824918633
231556,0.842742303496824,0.826386062050984,0.0551095899722196,0.566501062970749,0.0601930658424066,0.289479585775882,0.233426761750063,0.199576277504485,0.713564191525312,0.0307691049452313
37986,0.631440355580357,0.398697424974773,0.0794677859017192,0.598282096675177,0.512184572910696,0.0249767986744926,0.875764955711773,0.948440794963568,0.552028568592691,0.459899464420294
38433,0.663283543487283,0.312625635484292,0.726071718197101,0.203953206239599,0.436251994933457,0.388230731957678,0.53785811305817,0.528871109445522,0.795886535377286,0.470559565598989
