,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
12406,0.690830097322145,0.196349293178767,0.718922780016126,0.863907018015367,0.94604393050253,0.473210185407574
28419,0.915025148987797,0.0557747075307125,0.26760586814358,0.717174252423549,0.953307396045583,0.925084923152241
17269,0.684653255972272,0.32751688867406,0.295060452873312,0.82203415989072,0.955277066135524,0.520618296183396
36784,0.506339348652755,0.337197079219367,0.740788525906899,0.994100761245216,0.91592359791731,0.646919244712604
33444,0.768770901191398,0.260965581699156,0.00323700211422704,0.936942506783455,0.778989504019798,0.724211243081517
22446,0.789385014340488,0.194845030580732,0.397501775722512,0.992368275026006,0.714978091979374,0.475139001854524
1580,0.559423283711862,0.254018743445427,0.732806631184725,0.812047096878198,0.919651521320263,0.73389885370974
9093,0.866868789293579,0.000865138727121273,0.660322498105533,0.944777312544705,0.667212195829666,0.635442904541192
18387,0.562144033901614,0.372248560550241,0.393706699866096,0.932619882590882,0.835903243444439,0.52761742938037
28327,0.855332099120383,0.09500026780133,0.387188855086976,0.751101275725171,0.818138368086853,0.881339968839886
14191,0.71708373913978,0.275011823022731,0.193875188819817,0.961508349482385,0.7448340651628,0.510011799332241
34340,0.788566276997165,0.123217502117649,0.597642502323585,0.850217724461582,0.68431187390708,0.803107021810357
8462,0.798073488131067,0.211523156534589,0.153801114951337,0.858997098865753,0.75175956630764,0.886403628097011
33450,0.595283466418495,0.394678882122436,0.134474996534462,0.880055591163013,0.799686862000966,0.758785875189381
39541,0.862161997050889,0.0534890747923174,0.401193631733663,0.949698057570469,0.822209652743252,0.41183971201116
30241,0.875515759328627,0.116393284613305,0.200491252452006,0.898058808527161,0.703740938082195,0.901828238759099
4305,0.853740623388034,0.0573928263100922,0.419025887655303,0.998748668152794,0.502748349052623,0.754542965300937
15495,0.857724387214774,0.0672851856573401,0.459369340453333,0.977165937338549,0.745738690878352,0.473492586289075
29649,0.738937022344904,0.193163004921145,0.687288619015917,0.978250831704727,0.935501694167595,0.29237197544526
29931,0.834146227508836,0.0455961903287499,0.611876584019458,0.916246073774801,0.817065691172228,0.448279932430607
21572,0.719364832945041,0.29236912476098,0.323439704678321,0.998907609182211,0.809405163090967,0.393327118141116
23913,0.777764291243353,0.143511039048036,0.644197050537581,0.878741648897158,0.998389383258085,0.339449581907667
25890,0.56076465836315,0.449559195175892,0.00685325849544869,0.811570512106565,0.915459118723316,0.833260814969204
3954,0.500690814995296,0.243176538786686,0.914644572095319,0.992514789520305,0.969716306178153,0.751897990018538
38090,0.736390868066199,0.25800566222932,0.44315387695528,0.923537438532571,0.668525052367605,0.794632664831432
12464,0.554220592061979,0.441727568737572,0.258277018609693,0.973278951124757,0.789534900358376,0.726966204481894
28641,0.886642358620148,0.042693634297948,0.071650509892645,0.99156969615054,0.609338153410751,0.829193392160245
10704,0.724160437386868,0.230092942166132,0.421425068019549,0.875480197112193,0.824033205709018,0.503197925693348
10856,0.814194868752422,0.067958410025489,0.629879987664611,0.829680699301054,0.714354625070894,0.759645385026958
14066,0.70764660005396,0.276034920583586,0.423909836638009,0.927453942233227,0.82426991970029,0.480078348205309
29424,0.661261136318066,0.274683337796181,0.495867317614237,0.786528314405198,0.912135726901766,0.574701991014513
13392,0.465566008750736,0.453400848103866,0.303362862898268,0.962621243435284,0.889663844332624,0.593582760017319
27338,0.880695051402885,0.0019798115715747,0.661326697235109,0.926638575703306,0.558004196444831,0.892468373758367
23221,0.8339172519537,0.0248820194605206,0.750911245334535,0.996233326228207,0.867085965634541,0.350252775019689
11098,0.792701829646206,0.188633306267689,0.218126570871922,0.903486403525455,0.661037067892403,0.826062905064291
16925,0.84079405879496,0.178219330766102,0.150929344341501,0.742169476185717,0.902314184658045,0.930878304235361
