,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc
7,0.11020460801770496,0.9294257527001228,0.20687376691411932,0.6018309421818054,0.7839821105192131,0.5768735074366531,0.8124481837387102,0.214292407744999,0.33490837093650894,0.973846714224356,0.39800314745289206,2.46647081208498,2.4185156263103256,2.3940563994989126,0.9114730777555,0.17135091491077545
74,0.6614223082660965,0.4575732683481722,0.9845145160028986,0.006200453218361546,0.8832828125214139,0.9883041423656952,0.7140163373651783,0.3780481402750981,0.10505709425901408,0.5726246071524311,1.7376673799634503,0.9993729639188691,1.9924057563414028,0.9255109001920508,0.6323778342741678,1.5719040425306765
80,0.6946425092993881,0.10029199256468392,0.01917901407676087,0.6586515129464312,0.6889161914343489,0.6261579754621351,0.7614754076126822,0.6673620675054219,0.5575180815955942,0.5660409601970328,0.6931669061795858,1.5965196567334292,1.7584433128881922,2.4732086810372405,0.7088262272554395,0.7686575333036862
100,0.8048968447219871,0.6167036407703614,0.7009135906473071,0.14406966024711115,0.7877035443455108,0.9845179591771952,0.18736077481745703,0.5325802306517601,0.10530187994827006,0.5617761639740518,1.0305835806386578,2.214510198879132,2.199585145003834,1.422608600941833,1.0846777203693108,0.8265783180769115
