,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc
6,0.6530393057015272,0.3657928808217861,0.21713722774038396,0.9733628806012552,0.9557648475442788,0.028355068124259888,0.1541688803151572,1.2269238930637458,1.4791885575269268,0.4490087195882098,0.07640861041563983,0.2955880972550869
12,0.7096380676952991,0.32153783007058984,0.4280617379081152,0.988731407799446,0.5532440360876523,0.924327820823686,0.2664388843113268,1.2543931052904762,0.5252794300329553,1.0010618638390676,0.40063962456828217,0.1790808712579303
13,0.7121666608743994,0.2554788314785664,0.5663930356549319,0.98021616855115,0.6025883518692752,0.7202384043745479,0.4858778276862841,1.3435032231742652,1.0869592487988122,0.6255885312404385,0.15721631465866928,0.4869467961923622
17,0.7992316898268061,0.2426984831422299,0.2688617600847056,0.8912043299198998,0.9656215952454064,0.208052755731342,0.2947548728339948,1.199071831305167,1.0313143953870088,0.774330658257677,0.4270713941408264,0.2611041604030702
