,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,temperature,density
0,0.30167993242853164,0.35819509731191557,0.2552012838012001,0.3249756008540626,0.17993234608570124,0.27190909152341347,0.40297324658595074,0.3235254631684849,0.24188201343912655,0.05130098711623978,229,1499.0140542461315
1,0.30167993242853164,0.35819509731191557,0.2552012838012001,0.3249756008540626,0.17993234608570124,0.27190909152341347,0.40297324658595074,0.3235254631684849,0.24188201343912655,0.05130098711623978,249,1422.1897344430122
2,0.30167993242853164,0.35819509731191557,0.2552012838012001,0.3249756008540626,0.17993234608570124,0.27190909152341347,0.40297324658595074,0.3235254631684849,0.24188201343912655,0.05130098711623978,269,1337.097048804015
3,0.30167993242853164,0.35819509731191557,0.2552012838012001,0.3249756008540626,0.17993234608570124,0.27190909152341347,0.40297324658595074,0.3235254631684849,0.24188201343912655,0.05130098711623978,289,1239.9229324010078
4,0.30167993242853164,0.35819509731191557,0.2552012838012001,0.3249756008540626,0.17993234608570124,0.27190909152341347,0.40297324658595074,0.3235254631684849,0.24188201343912655,0.05130098711623978,309,1146.9997689939566
5,0.3025765887025309,0.3832537462734932,0.3028034026083249,0.29030457451327885,0.20863002573972758,0.21127128825432218,0.4151701181905505,0.21843299820691484,0.283868352916442,0.0385093382407748,229,1492.092567288074
6,0.3025765887025309,0.3832537462734932,0.3028034026083249,0.29030457451327885,0.20863002573972758,0.21127128825432218,0.4151701181905505,0.21843299820691484,0.283868352916442,0.0385093382407748,249,1415.4045192886915
7,0.3025765887025309,0.3832537462734932,0.3028034026083249,0.29030457451327885,0.20863002573972758,0.21127128825432218,0.4151701181905505,0.21843299820691484,0.283868352916442,0.0385093382407748,269,1329.8769062665162
8,0.3025765887025309,0.3832537462734932,0.3028034026083249,0.29030457451327885,0.20863002573972758,0.21127128825432218,0.4151701181905505,0.21843299820691484,0.283868352916442,0.0385093382407748,289,1235.7244696602963
9,0.3025765887025309,0.3832537462734932,0.3028034026083249,0.29030457451327885,0.20863002573972758,0.21127128825432218,0.4151701181905505,0.21843299820691484,0.283868352916442,0.0385093382407748,309,1139.4518281159405
10,0.3065219146174629,0.35247433819101576,0.2821949028329619,0.3078549468209206,0.17543891608773135,0.21538492276430196,0.3159945757992723,0.30196645300579666,0.3299803500792695,0.03831322707528191,229,1501.8271406801875
11,0.3065219146174629,0.35247433819101576,0.2821949028329619,0.3078549468209206,0.17543891608773135,0.21538492276430196,0.3159945757992723,0.30196645300579666,0.3299803500792695,0.03831322707528191,249,1420.4197080918516
12,0.3065219146174629,0.35247433819101576,0.2821949028329619,0.3078549468209206,0.17543891608773135,0.21538492276430196,0.3159945757992723,0.30196645300579666,0.3299803500792695,0.03831322707528191,269,1334.760277304944
13,0.3065219146174629,0.35247433819101576,0.2821949028329619,0.3078549468209206,0.17543891608773135,0.21538492276430196,0.3159945757992723,0.30196645300579666,0.3299803500792695,0.03831322707528191,289,1240.908881862614
14,0.3065219146174629,0.35247433819101576,0.2821949028329619,0.3078549468209206,0.17543891608773135,0.21538492276430196,0.3159945757992723,0.30196645300579666,0.3299803500792695,0.03831322707528191,309,1134.8214809528977
15,0.3116130454723136,0.34593186360097605,0.33643967248869106,0.25764752135534424,0.2357963075029893,0.4895400063045122,0.49678534052138834,0.3039164186751101,0.1446601794959232,0.047243512656661366,229,1508.3049125162556
16,0.3116130454723136,0.34593186360097605,0.33643967248869106,0.25764752135534424,0.2357963075029893,0.4895400063045122,0.49678534052138834,0.3039164186751101,0.1446601794959232,0.047243512656661366,249,1425.1160631057003
17,0.3116130454723136,0.34593186360097605,0.33643967248869106,0.25764752135534424,0.2357963075029893,0.4895400063045122,0.49678534052138834,0.3039164186751101,0.1446601794959232,0.047243512656661366,269,1345.4475310335304
18,0.3116130454723136,0.34593186360097605,0.33643967248869106,0.25764752135534424,0.2357963075029893,0.4895400063045122,0.49678534052138834,0.3039164186751101,0.1446601794959232,0.047243512656661366,289,1240.8442027678698
19,0.3116130454723136,0.34593186360097605,0.33643967248869106,0.25764752135534424,0.2357963075029893,0.4895400063045122,0.49678534052138834,0.3039164186751101,0.1446601794959232,0.047243512656661366,309,1125.026617965982
20,0.3122822007680265,0.3997412261997883,0.2917132061815807,0.2973043041452805,0.20174679617233168,0.44321127648725206,0.36769885756677056,0.1707175271902362,0.1962276021567742,0.02040089683628272,229,1507.5254185133624
21,0.3122822007680265,0.3997412261997883,0.2917132061815807,0.2973043041452805,0.20174679617233168,0.44321127648725206,0.36769885756677056,0.1707175271902362,0.1962276021567742,0.02040089683628272,249,1428.542927298304
22,0.3122822007680265,0.3997412261997883,0.2917132061815807,0.2973043041452805,0.20174679617233168,0.44321127648725206,0.36769885756677056,0.1707175271902362,0.1962276021567742,0.02040089683628272,269,1346.8342614597882
23,0.3122822007680265,0.3997412261997883,0.2917132061815807,0.2973043041452805,0.20174679617233168,0.44321127648725206,0.36769885756677056,0.1707175271902362,0.1962276021567742,0.02040089683628272,289,1234.7972631788487
24,0.3122822007680265,0.3997412261997883,0.2917132061815807,0.2973043041452805,0.20174679617233168,0.44321127648725206,0.36769885756677056,0.1707175271902362,0.1962276021567742,0.02040089683628272,309,1115.028042590106
25,0.3123756336974507,0.36851808065528807,0.25125893548465833,0.3318302590605572,0.19194929743238498,0.4907717618951679,0.49870679771007465,0.196435918259352,0.16810817158290048,0.04750757750547268,229,1492.648995162032
