,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,temperature,density
0,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,243,924.7762840306993
1,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,263,361.46860500228706
2,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,283,27.951113534446577
3,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,303,48.20285949582481
4,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,323,74.39530567090061
5,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,243,5.733998036198037
6,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,263,14.810645542020048
7,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,283,27.515482717731683
8,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,303,46.63937183139169
9,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,323,74.31653044776313
10,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,243,5.455210376725474
11,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,263,13.774707532640454
12,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,283,26.35611284766799
13,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,303,50.43474017034537
14,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,323,74.85993990629545
15,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,243,5.573745035864045
16,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,263,13.377533827466811
17,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,283,26.376237898050704
18,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,303,46.89817318156976
19,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,323,72.9330522584854
20,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,243,5.7734968519310685
21,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,263,14.004165471126404
22,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,283,27.24514004005819
23,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,303,44.82947951836659
24,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,323,73.05168581285575
25,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,243,5.452198203060679
26,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,263,13.47060898131484
27,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,283,26.56339808360401
28,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,303,45.96155049040044
29,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,323,72.91093132473904
30,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,243,5.927355792283849
31,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,263,13.397966481626653
32,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,283,26.37251431973435
33,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,303,47.56454930224253
34,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,323,76.22846089728898
35,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,243,1079.508375808101
36,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,263,921.8680249819647
37,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,283,25.23472362949899
38,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,303,47.80672414141506
39,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,323,80.58925406668497
40,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,243,1057.498773647716
41,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,263,646.1255834636604
42,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,283,27.418623961129004
43,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,303,47.49819333930167
44,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,323,79.02366409394297
45,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,243,6.075755478513167
46,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,263,14.40272862487887
